section	virtual_address	name
Functions	0x429db4	ai_pick_hit_mode_
Functions	0x429f29	always
Functions	0x429fc8	ai_move_steps_closer_
Functions	0x42a1c0	ai_move_closer_
Functions	0x42a1d4	cai_retargetTileFromFriendlyFire_
Functions	0x42a410	cai_retargetTileFromFriendlyFireSubFunc_
Functions	0x42a518	cai_attackWouldIntersect_
Functions	0x42a5b8	ai_switch_weapons_
Functions	0x42a670	ai_called_shot_
Functions	0x42a748	ai_attack_
Functions	0x42a7d8	ai_try_attack_
Functions	0x42a945	no_ammo
Functions	0x42a9f2	go_next
Functions	0x42aa12	exit_try
Functions	0x42aa1e	search_ammo
Functions	0x42ab45	not_enough_AP
Functions	0x42ab71	out_of_range
Functions	0x42abf3	no_weapon
Functions	0x42ac47	shot_blocked
Functions	0x42ac6b	attack
Functions	0x42ae90	cAIPrepWeaponItem_
Functions	0x42aecc	cai_attempt_w_reload_
Functions	0x42af78	combat_ai_begin_
Functions	0x42afbc	combat_ai_over_
Functions	0x42afdc	cai_perform_distance_prefs_
Functions	0x42b100	cai_get_min_hp_
Functions	0x42b130	combat_ai_
Functions	0x42b3fc	combatai_want_to_join_
Functions	0x42b4a8	combatai_want_to_stop_
Functions	0x42b504	combatai_switch_team_
Functions	0x42b5d4	combat_ai_set_ai_packet_
Functions	0x42b634	combatai_msg_
Functions	0x42b80c	ai_print_msg_
Functions	0x42b868	combat_ai_random_target_
Functions	0x42b90c	combatai_rating_
Functions	0x42b9d4	combatai_check_retaliation_
Functions	0x42ba04	is_within_perception_
Functions	0x42bb34	combatai_load_messages_
Functions	0x42bbd8	combatai_unload_messages_
Functions	0x42bbf0	combatai_refresh_messages_
Functions	0x42bc60	combatai_notify_onlookers_
Functions	0x42bcd4	combatai_notify_friends_
Functions	0x42bd28	combatai_delete_critter_
Functions	0x42bd90	config_init_
Functions	0x42bdbc	config_exit_
Functions	0x42be38	config_cmd_line_parse_
Functions	0x42bf48	config_get_string_
Functions	0x42bf90	config_set_string_
Functions	0x42c05c	config_get_value_
Functions	0x42c090	config_get_values_
